Wavelength,CSRA,CSRB,Merge
450,0.179234058,0.496997583,0.338115821
450.9722222,0.192727273,0.507883858,0.350305565
452,0.203374233,0.519659788,0.361517011
453.132716,0.221818182,0.536969697,0.379393939
454,0.230470348,0.553653095,0.392061722
456,0.259537089,0.591587656,0.425562372
458,0.294023053,0.641345975,0.467684514
460,0.329986986,0.699972114,0.51497955
460.6944444,0.35030303,0.728009229,0.53915613
462,0.376296709,0.778797174,0.577546942
462.8549383,0.396363636,0.815757576,0.606060606
464,0.421621119,0.856636921,0.63912902
466,0.465467559,0.925608849,0.695538204
467.8240741,0.500606061,0.971771348,0.736188705
470,0.540844023,0.993102807,0.766973415
472,0.565476854,0.980293735,0.772885295
474,0.578778583,0.938910578,0.758844581
476,0.58222718,0.883240379,0.73273378
478,0.574344674,0.828555494,0.701450084
480,0.556116379,0.790128277,0.673122328
481.0030864,0.541818182,0.783703973,0.662761078
482,0.523601041,0.777319204,0.650460123
484,0.492563674,0.78372374,0.638143707
486,0.468916155,0.804415319,0.636665737
488,0.463004276,0.826584867,0.644794571
490,0.481725228,0.846291132,0.66400818
491.1574074,0.51030303,0.849142154,0.679722592
492,0.537395427,0.851217698,0.694306563
493.3179012,0.585454545,0.847322062,0.716388304
494,0.616220487,0.845305819,0.730763153
495.6944444,0.694545455,0.830697181,0.762621318
496,0.709825246,0.828062837,0.768944042
496.558642,0.738181818,0.820219105,0.779200461
497.6388889,0.784242424,0.805051667,0.794647046
498,0.806385945,0.799981409,0.803183677
498.7191358,0.835151515,0.787581364,0.811366439
500,0.882747723,0.765495445,0.824121584
500.4475309,0.912727273,0.750344535,0.831535904
501.095679,0.927272727,0.735690432,0.83148158
502,0.949256367,0.715244469,0.832250418
503.2561728,0.978181818,0.681207066,0.829694442
504,0.991132181,0.66105224,0.82609221
505.632716,1.00969697,0.614398874,0.812047922
507.5771605,1.007272727,0.558838154,0.783055441
510,0.978815765,0.496997583,0.737906674
511.0339506,0.953939394,0.471515152,0.712727273
512,0.91969697,0.448224577,0.683960773
513.1944444,0.878787879,0.423509636,0.651148758
514,0.847276445,0.40684142,0.627058933
515.3549383,0.791515152,0.382476965,0.586996058
516,0.764017475,0.370877487,0.567447481
516.867284,0.733333333,0.357845654,0.545589494
518,0.680265849,0.340825432,0.51054564
518.595679,0.658181818,0.333782267,0.495982043
520,0.609323294,0.317177914,0.463250604
520.7561728,0.578181818,0.309168443,0.44367513
521.6203704,0.556363636,0.300014761,0.428189199
522,0.545770589,0.295993679,0.420882134
523.132716,0.52,0.286786018,0.403393009
524,0.49896821,0.27973601,0.38935211
525.0771605,0.476363636,0.271775957,0.374069796
526,0.459555679,0.264956312,0.362255996
526.5895062,0.44969697,0.262080766,0.355888868
528,0.428025655,0.255110184,0.34156792
530,0.399944228,0.243772077,0.321858152
531.3425926,0.386666667,0.229346168,0.308006417
